Names,Ratings,Metascore,Votes,Gross
1.Logan(2017),8.1,77,661328,$226.28M
2.Thor:Ragnarok(2017),7.9,74,607419,$315.06M
3.WonderWoman(2017),7.4,76,588754,$412.56M
4.GuardiansoftheGalaxyVol.2(2017),7.6,67,583198,$389.81M
5.StarWars:EpisodeVIII-TheLastJedi(2017),7.0,84,573480,$620.18M
6.Dunkirk(2017),7.8,94,568613,$188.37M
7.Spider-Man:Homecoming(2017),7.4,73,526858,$334.20M
8.GetOut(I)(2017),7.7,85,504184,$176.04M
9.BladeRunner2049(2017),8.0,81,474781,$92.05M
10.It(I)(2017),7.3,69,467068,$327.48M
11.BabyDriver(2017),7.6,86,450099,$107.83M
"12.ThreeBillboardsOutsideEbbing,Missouri(2017)",8.1,88,445400,$54.51M
13.JusticeLeague(2017),6.2,45,410898,$229.02M
14.Coco(I)(2017),8.4,81,400513,$209.73M
15.TheShapeofWater(2017),7.3,87,379364,$63.86M
16.JohnWick:Chapter2(2017),7.5,75,375002,$92.03M
17.Jumanji:WelcometotheJungle(2017),6.9,58,327153,$404.52M
20.Kong:SkullIsland(2017),6.6,62,285562,$168.05M
21.Kingsman:TheGoldenCircle(2017),6.7,44,279154,$100.23M
22.BeautyandtheBeast(I)(2017),7.1,65,278861,$504.01M
23.PiratesoftheCaribbean:DeadMenTellNoTales(2017),6.5,39,269525,$172.56M
25.Alien:Covenant(2017),6.4,65,257906,$74.26M
26.LadyBird(2017),7.4,94,248598,$48.96M
27.TheGreatestShowman(2017),7.6,48,245326,$174.34M
28.WarforthePlanetoftheApes(2017),7.4,82,231407,$146.88M
30.CallMebyYourName(2017),7.9,93,220914,$18.10M
31.MurderontheOrientExpress(2017),6.5,52,217547,$102.83M
32.WindRiver(2017),7.7,73,212256,$33.80M
33.Life(I)(2017),6.6,54,210198,$30.23M
34.TheFateoftheFurious(2017),6.6,56,208322,$226.01M
35.GhostintheShell(2017),6.3,52,198955,$40.56M
37.KingArthur:LegendoftheSword(2017),6.7,41,195426,$39.18M
38.Mother!(2017),6.6,75,194995,$17.80M
39.TheHitman'sBodyguard(2017),6.9,47,191240,$75.47M
"41.I,Tonya(2017)",7.5,77,187164,$30.01M
42.AtomicBlonde(2017),6.7,63,178994,$51.69M
44.DarkestHour(2017),7.4,75,175731,$56.47M
45.TheMummy(2017),5.4,34,175288,$80.10M
46.Bright(I)(2017),6.3,29,171435,
47.Baywatch(2017),5.5,37,165300,$58.06M
48.ValerianandtheCityofaThousandPlanets(2017),6.5,51,165171,$41.19M
49.AmericanMade(2017),7.2,65,161480,$51.34M
